nome,rating,genero,tipo,price_com_taxa,price_sem_taxa,taxa,estoque,imagem
"We Love You, Charlie Freeman",Five,Fiction,Books,£50.27,£50.27,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg
Untitled Collection: Sabbath Poems 2014,Four,Poetry,Books,£14.27,£14.27,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,Nonfiction,Books,£44.18,£44.18,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg
Unicorn Tracks,Three,Fantasy,Books,£18.78,£18.78,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,History,Books,£25.52,£25.52,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,Sequential Art,Books,£16.28,£16.28,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,Nonfiction,Books,£31.12,£31.12,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg
This One Summer,Four,Sequential Art,Books,£19.49,£19.49,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg
Thirst,Five,Fiction,Books,£17.27,£17.27,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg
The Torch Is Passed: A Harding Family Story,One,Add a comment,Books,£19.09,£19.09,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg
The Secret of Dreadwillow Carse,One,Childrens,Books,£56.13,£56.13,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,Food and Drink,Books,£56.41,£56.41,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg
The Past Never Ends,Four,Mystery,Books,£56.50,£56.50,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg
The Natural History of Us (The Fine Art of Pretending #2),Three,Young Adult,Books,£45.22,£45.22,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg
The Nameless City (The Nameless City #1),Four,Sequential Art,Books,£38.16,£38.16,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg
The Murder That Never Was (Forensic Instincts #5),Three,Fiction,Books,£54.11,£54.11,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,Science,Books,£42.96,£42.96,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,Add a comment,Books,£23.89,£23.89,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,Nonfiction,Books,£16.77,£16.77,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,Default,Books,£20.59,£20.59,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,Nonfiction,Books,£37.13,£37.13,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,Nonfiction,Books,£56.06,£56.06,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg
The Death of Humanity: and the Case for Life,Four,Philosophy,Books,£58.11,£58.11,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,Health,Books,£49.05,£49.05,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg
The Art Forger,Three,Add a comment,Books,£40.76,£40.76,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,History,Books,£19.73,£19.73,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,Spirituality,Books,£32.24,£32.24,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,Nonfiction,Books,£41.83,£41.83,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg
Soul Reader,Two,Default,Books,£39.58,£39.58,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg
Security,Two,Horror,Books,£39.25,£39.25,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,Fantasy,Books,£25.02,£25.02,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,Sequential Art,Books,£51.04,£51.04,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg
Reskilling America: Learning to Labor in the Twenty-First Century,Two,Nonfiction,Books,£19.83,£19.83,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,Sequential Art,Books,£50.40,£50.40,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,Sequential Art,Books,£13.61,£13.61,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg
Princess Between Worlds (Wide-Awake Princess #5),Five,Fantasy,Books,£13.34,£13.34,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg
"Pop Gun War, Volume 1: Gift",One,Sequential Art,Books,£18.97,£18.97,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,History,Books,£36.28,£36.28,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg
Patience,Three,Sequential Art,Books,£10.16,£10.16,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,Sequential Art,Books,£15.44,£15.44,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),One,Sequential Art,Books,£48.41,£48.41,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg
Online Marketing for Busy Authors: A Step-By-Step Guide,One,Self Help,Books,£46.35,£46.35,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg
On a Midnight Clear,Three,Add a comment,Books,£14.07,£14.07,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg
Obsidian (Lux #1),Two,Young Adult,Books,£14.86,£14.86,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/88/3f/883fb0f2304efca8724c629f03a4b82a.jpg
My Paris Kitchen: Recipes and Stories,Two,Food and Drink,Books,£33.37,£33.37,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg
Masks and Shadows,Two,Fantasy,Books,£56.40,£56.40,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,Food and Drink,Books,£14.02,£14.02,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/48/19/48192cbef9101060e3787d87d7c8d7d1.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,Sequential Art,Books,£46.91,£46.91,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,Sequential Art,Books,£45.61,£45.61,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,Sequential Art,Books,£19.92,£19.92,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg
"Layered: Baking, Building, and Styling Spectacular Cakes",One,Food and Drink,Books,£40.11,£40.11,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/73/06/7306b860c7887dfb2a4b0083e2d6bf0d.jpg
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,Add a comment,Books,£53.90,£53.90,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/6d/80/6d80608ef81001ad068df06fae44b7f8.jpg
Join,Five,Science Fiction,Books,£35.67,£35.67,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg
In the Country We Love: My Family Divided,Four,Nonfiction,Books,£22.00,£22.00,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,Science,Books,£57.36,£57.36,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/e1/1e/e11e7e9514a123aee2415a1def85e638.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,Sequential Art,Books,£29.17,£29.17,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/58/e2/58e2097169e92a95d973da420ce7cc98.jpg
I am a Hero Omnibus Volume 1,Three,Sequential Art,Books,£54.63,£54.63,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/f7/4d/f74db5141becf01083abc03c078f4922.jpg
How to Be Miserable: 40 Strategies You Already Use,One,Self Help,Books,£46.03,£46.03,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/b0/9d/b09d7cb6aa8ae112dd457e588762d293.jpg
Her Backup Boyfriend (The Sorensen Family #1),One,Romance,Books,£33.97,£33.97,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/41/ee/41ee38c1d15f0139a3fb17b730dc4347.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",Two,Sequential Art,Books,£22.11,£22.11,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/d0/6f/d06ff4e3b9daf93b18bb21f1af19b5eb.jpg
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,Historical Fiction,Books,£29.69,£29.69,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg
First and First (Five Boroughs #3),Four,Romance,Books,£15.97,£15.97,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/01/a5/01a5285b17e7ec0e7e56294a8f8af28d.jpg
Fifty Shades Darker (Fifty Shades #2),One,Romance,Books,£21.96,£21.96,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/51/86/51862681bebec59be61f36f937c71fce.jpg
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,Nonfiction,Books,£54.35,£54.35,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,Religion,Books,£37.97,£37.97,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/a7/9c/a79cac7aec3816fb754c1aedd2e82986.jpg
Danganronpa Volume 1,Four,Sequential Art,Books,£51.99,£51.99,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ce/39/ce3942d9a10b6a17805136ace7c140fa.jpg
Crown of Midnight (Throne of Glass #2),Three,Fantasy,Books,£43.29,£43.29,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/b7/7d/b77d5e56daa3c22822abf1b8affbaef9.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",Four,Sequential Art,Books,£36.72,£36.72,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ed/a5/eda54d1bfcdd39488013f7aae1eaf659.jpg
Camp Midnight,Four,Sequential Art,Books,£17.08,£17.08,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/7a/67/7a671ecf69cdcd2ea9ebe85da1b5585f.jpg
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,Nonfiction,Books,£29.14,£29.14,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg
Burning,Three,Young Adult,Books,£28.81,£28.81,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9a/2c/9a2c2936fa9bd422be96805924e1411a.jpg
Bossypants,Two,Default,Books,£49.46,£49.46,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/94/34/943490007d42c0bc066efc899dafa472.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,Sequential Art,Books,£37.92,£37.92,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9d/1d/9d1d68362670066b155936e37d61bc5b.jpg
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,Fantasy,Books,£28.09,£28.09,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/9f/25/9f25ffe4229a32d1368b3dfe248c3343.jpg
Algorithms to Live By: The Computer Science of Human Decisions,One,Nonfiction,Books,£30.81,£30.81,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/28/ea/28ea530a8b7955e422df64beaed7871a.jpg
A World of Flavor: Your Gluten Free Passport,One,Default,Books,£42.95,£42.95,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/0a/6a/0a6a53a8d37584a7906d2d5a0032f9c1.jpg
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,Default,Books,£56.76,£56.76,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/09/6d/096df83de35d408278fdc9108d930b5f.jpg
A Murder in Time,One,Mystery,Books,£16.64,£16.64,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg
A Flight of Arrows (The Pathfinders #2),Five,Historical Fiction,Books,£55.53,£55.53,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg
A Fierce and Subtle Poison,Four,Young Adult,Books,£28.13,£28.13,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/ac/b6/acb65d6d11263ba98b0191b544f6c728.jpg
A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,Fantasy,Books,£52.37,£52.37,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/0a/78/0a78f89fc2dc78b700b494c3510e8920.jpg
(Un)Qualified: How God Uses Broken People to Do Big Things,Five,Christian,Books,£54.00,£54.00,£0.00,In stock (16 available),https://books.toscrape.com//media/cache/e4/f8/e4f8c1c5954e09cb6c485d9db824eeb1.jpg
You Are What You Love: The Spiritual Power of Habit,Four,Religion,Books,£21.87,£21.87,£0.00,In stock (15 available),https://books.toscrape.com//media/cache/52/9b/529bf0d806ae2ab02bf23da4326b24c3.jpg
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,Science Fiction,Books,£43.30,£43.30,£0.00,In stock (15 available),https://books.toscrape.com//media/cache/02/7a/027a1f131d94c38f9e785f5d85a109c7.jpg
Tuesday Nights in 1980,Two,Fiction,Books,£21.04,£21.04,£0.00,In stock (15 available),https://books.toscrape.com//media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg
Tracing Numbers on a Train,Three,Default,Books,£41.60,£41.60,£0.00,In stock (15 available),https://books.toscrape.com//media/cache/0a/05/0a0514153dac092aac76b097b495f908.jpg
Throne of Glass (Throne of Glass #1),Three,Fantasy,Books,£35.07,£35.07,£0.00,In stock (15 available),https://books.toscrape.com//media/cache/4e/8d/4e8d87d1cb5e876ddb50599a1d1b656e.jpg
